NOC ,NVDA,LMT ,DXC ,RTN ,STZ ,CTAS ,MSCI ,HRS ,HII,UNH,GD,AVGO,FISV,BA,ADBE,SPGI,GPN,ALGN,EA,CME ,ETFC,PGR ,NFLX ,NDAQ ,AMZN,TTWO ,FB ,IDXX ,TSS UN,WM UN,MA UN,AOS,ITW,MAR,MMC,CBOE,HUM,SYK,ANTM ,TDG,LRCX ,RSG ,MSFT ,V ,BSX ,BDX ,DPS ,LUV,ATVI
74.073,13.41,90.146,10.574,58.235,49.007,42.704,31.53,43.17,51.748,59.089,68.982,34.247,21.605,87.338,44.37,49.778,22.862,35.41,21.78,60.029,11.93,21.694,30.414,29.824,272.09,14.63,24.25,45.13,22.477,34.201,53.027,16.453,61.008,36.924,35.403,41.152,81.208,60.458,73.869,99.377,42.916,29.429,29.794,41.793,9.03,90.442,39.842,12.85,13.252
75.11,13.335,91.972,10.649,58.779,49.861,42.732,31.262,43.825,52.363,60.063,70.309,34.385,21.685,89.179,45.68,49.881,23.016,35.78,21.79,59.974,12.24,22.211,30.3,29.897,277.57,14.21,24.16,45.355,22.688,35.032,53.536,16.521,61.832,37.018,35.952,42.221,81.228,60.519,74.165,99.364,42.412,29.913,30.396,42.298,9.25,91.512,40.427,12.485,13.213
76.367,13.212,93.354,10.804,59.234,50.326,43.203,31.367,44.372,53.555,61.277,71.013,34.45,22.015,91.304,45.93,49.994,23.324,36.69,22.21,60.139,12.59,22.505,30.71,30.294,277.55,14.57,24.66,45.36,23.242,35.163,53.6,16.968,63.134,37.769,36.304,43.55,82.203,60.547,75.542,100.156,42.602,30.05,30.635,42.671,9.22,91.134,40.746,12.552,13.502
75.991,13.241,94.311,10.584,58.948,50.569,42.827,31.817,44.184,53.451,60.712,70.707,34.505,21.853,90.675,45.56,49.919,23.016,37.04,22.99,59.691,12.66,22.657,30.156,30.229,277.69,14.97,24.88,44.845,23.395,35.268,53.959,16.544,62.574,37.881,35.97,43.355,81.44,60.51,75.672,99.352,42.127,30.041,30.564,42.321,9.27,91.208,40.684,12.408,13.713
76.495,13.297,93.963,10.784,59.425,51.568,42.949,32.63,44.821,53.867,60.851,71.32,34.718,21.823,91.383,46.24,50.735,23.22,37.79,23.18,60.131,12.82,22.808,32.04,30.524,282.1,15.37,24.81,45.365,23.615,35.574,54.777,17.041,62.917,37.834,36.43,44.052,82.222,60.276,75.496,98.205,42.004,30.218,30.405,42.893,9.37,91.595,41.109,12.619,13.732
75.412,13.288,92.519,10.763,58.274,49.725,42.921,32.419,44.247,53.565,60.517,70.975,35.521,21.713,89.817,46.03,50.67,23.15,37.3,23.52,59.101,12.9,22.693,31.637,30.478,283.73,15.44,24.41,44.925,23.557,35.329,54.763,16.854,62.574,37.75,36.313,43.41,80.041,60.173,75.247,96.12,42.488,29.908,30.033,42.898,9.17,89.648,41.277,12.234,13.771
76.11,13.325,93.215,11.021,58.571,48.958,43.137,32.658,44.032,54.227,60.767,71.22,35.622,21.98,91.074,46.42,50.942,23.086,37.78,23.31,59.502,12.86,22.684,31.559,30.165,284.03,15.43,24.52,44.365,23.615,35.137,55.056,17.105,62.212,37.815,36.295,43.661,80.156,60.061,74.978,97.406,42.992,29.837,30.095,43.315,9.15,90.257,41.26,12.234,13.809
77.046,13.429,94.485,11.234,59.191,49.084,43.682,32.945,44.462,54.937,61.352,72.202,35.826,22.24,92.233,47,51.495,23.359,38.39,23.83,60.995,13.16,23.12,32.157,30.699,285.88,15.7,24.37,45.53,23.682,35.635,56.465,17.241,63.297,38.848,36.898,44.089,80.764,61.024,75.783,100.131,43.685,30.227,30.272,44.183,9.3,91.06,41.074,12.311,14.098
78.092,13.363,94.928,11.379,60.09,49.453,44.011,33.031,44.588,54.681,62.64,72.475,34.404,22.362,92.384,46.63,52.265,23.623,38.42,23.54,60.744,13.4,23.316,33.3,30.552,290.59,15.51,24.71,45.55,23.796,35.574,55.921,17.023,63.994,39.148,36.754,44.266,81.334,61.904,76.828,101.468,43.372,30.333,30.378,43.56,9.37,91.697,41.091,12.427,13.905
78.496,13.429,95.276,11.432,60.63,49.735,44.406,32.754,44.767,55.145,63.02,72.602,34.69,22.368,92.658,47.26,52.096,23.717,38.88,23.57,60.28,13.51,23.272,35.34,30.644,291.53,15.81,25.48,46.27,24.159,36.064,56.329,17.282,64.356,39.167,37.026,44.182,82.212,61.81,77.752,101.272,45.129,30.785,30.396,43.352,9.15,91.143,41.277,12.61,14.319
79.754,13.608,96.971,11.459,61.295,49.705,44.435,32.247,45.009,55.987,62.761,73.275,35.382,22.573,93.384,47.25,52.453,23.722,39.19,23.9,60.084,13.53,23.192,34.831,30.672,292.33,15.9,25.8,45.735,24.178,36.204,56.074,17.282,64.401,39.345,37.044,43.754,81.971,62.072,78.363,101.906,47.049,30.731,30.706,43.236,9.23,91.457,41.596,12.648,14.329
80.534,13.797,98.345,11.534,62.374,50.656,44.83,32.897,45.808,57.341,63.382,74.957,35.622,22.785,94.605,47.99,54.02,23.891,39.4,24.27,60.319,13.36,22.942,34.881,31.455,299.66,16.04,25.81,46.63,24.532,36.711,57.034,17.542,65.324,39.58,37.915,43.959,83.197,63.036,78.973,103.991,47.486,31.271,31.582,43.991,9.46,92.297,42.137,12.793,14.723
