State,Area name,"Percent of adults with a bachelor's degree or higher, 2012-2016"
KY,Garrard County,15.465
KY,Grant County,12.351
KY,Graves County,16.805
KY,Grayson County,10.154
KY,Green County,10.346
KY,Greenup County,16.804
KY,Hancock County,11.78
KY,Hardin County,23.619
KY,Harlan County,12.085
KY,Harrison County,15.447
KY,Hart County,11.414
KY,Henderson County,17.434
KY,Henry County,11.265
KY,Hickman County,8.777
KY,Hopkins County,15.07
KY,Jackson County,11.194
KY,Jefferson County,31.842
KY,Jessamine County,28.682
KY,Johnson County,11.725
KY,Kenton County,29.094
KY,Knott County,12.911
KY,Knox County,10.898
KY,Larue County,10.742
KY,Laurel County,12.549
KY,Lawrence County,11.451
KY,Lee County,7.618
KY,Leslie County,9.689
KY,Letcher County,11.198
KY,Lewis County,11.579
KY,Lincoln County,9.863
KY,Livingston County,10.037
KY,Logan County,13.36
KY,Lyon County,17.512
KY,McCracken County,22.926
KY,McCreary County,7.702
KY,McLean County,9.228
KY,Madison County,29.114
KY,Magoffin County,10.145
KY,Marion County,13.032
KY,Marshall County,15.942
KY,Martin County,6.262
KY,Mason County,15.844
KY,Meade County,15.326
KY,Menifee County,12.255
KY,Mercer County,18.544
KY,Metcalfe County,11.439
KY,Monroe County,15.371
KY,Montgomery County,16.574
KY,Morgan County,11.946
KY,Muhlenberg County,12.135
KY,Nelson County,17.242
KY,Nicholas County,10.51
KY,Ohio County,9.892
KY,Oldham County,39.794
KY,Owen County,11.292
KY,Owsley County,17.443
KY,Pendleton County,10.292
KY,Perry County,13.956
KY,Pike County,12.87
KY,Powell County,14.139
KY,Pulaski County,14.744
KY,Robertson County,16.95
KY,Rockcastle County,9.723
KY,Rowan County,26.648
KY,Russell County,12.717
KY,Scott County,28.421
KY,Shelby County,23.849
KY,Simpson County,14.186
KY,Spencer County,18.666
KY,Taylor County,17.301
KY,Todd County,11.742
KY,Trigg County,18.007
KY,Trimble County,11.617
KY,Union County,12.154
KY,Warren County,29.056
KY,Washington County,14.82
KY,Wayne County,9.299
KY,Webster County,8.946
KY,Whitley County,17.85
KY,Wolfe County,11.817
KY,Woodford County,31.871
LA,Lousiana,22.958
LA,Acadia Parish,11.121
LA,Allen Parish,11.876
LA,Ascension Parish,26.605
LA,Assumption Parish,11.414
LA,Avoyelles Parish,10.135
LA,Beauregard Parish,16.334
LA,Bienville Parish,12.962
LA,Bossier Parish,25.967
LA,Caddo Parish,23.801
LA,Calcasieu Parish,20.572
LA,Caldwell Parish,11.755
LA,Cameron Parish,16.93
LA,Catahoula Parish,13.098
LA,Claiborne Parish,12.97
LA,Concordia Parish,11.274
LA,De Soto Parish,13.462
LA,East Baton Rouge Parish,34.202
LA,East Carroll Parish,11.268
LA,East Feliciana Parish,12.945
LA,Evangeline Parish,11.918
LA,Franklin Parish,11.89
LA,Grant Parish,9.334
LA,Iberia Parish,13.744
LA,Iberville Parish,13.387
LA,Jackson Parish,13.649
LA,Jefferson Parish,24.816
LA,Jefferson Davis Parish,14.546
LA,Lafayette Parish,30.886
LA,Lafourche Parish,16.158
LA,La Salle Parish,11.043
LA,Lincoln Parish,35.365
LA,Livingston Parish,17.4
LA,Madison Parish,12.017
LA,Morehouse Parish,13.656
LA,Natchitoches Parish,18.747
LA,Orleans Parish,36.177
LA,Ouachita Parish,24.182
LA,Plaquemines Parish,15.809
LA,Pointe Coupee Parish,13.936
LA,Rapides Parish,19.853
LA,Red River Parish,13.543
LA,Richland Parish,13.749
LA,Sabine Parish,13.854
LA,St. Bernard Parish,13.226
LA,St. Charles Parish,20.656
LA,St. Helena Parish,10.594
LA,St. James Parish,14.432
LA,St. John the Baptist Parish,16.88
LA,St. Landry Parish,13.153
LA,St. Martin Parish,13.791
LA,St. Mary Parish,10.983
LA,St. Tammany Parish,31.287
LA,Tangipahoa Parish,19.794
LA,Tensas Parish,9.083
LA,Terrebonne Parish,14.309
LA,Union Parish,12.121
LA,Vermilion Parish,12.316
LA,Vernon Parish,17.772
LA,Washington Parish,11.922
LA,Webster Parish,13.918
LA,West Baton Rouge Parish,19.675
LA,West Carroll Parish,12.384
LA,West Feliciana Parish,22.482
LA,Winn Parish,12.645
ME,Maine,29.316
ME,Androscoggin County,20.704
ME,Aroostook County,18.094
ME,Cumberland County,44.056
ME,Franklin County,25.759
ME,Hancock County,32.513
ME,Kennebec County,25.264
ME,Knox County,30.226
ME,Lincoln County,32.447
ME,Oxford County,18.151
ME,Penobscot County,24.731
ME,Piscataquis County,16.332
ME,Sagadahoc County,33.489
ME,Somerset County,15.827
ME,Waldo County,29.182
ME,Washington County,20.096
ME,York County,30.065
MD,Maryland,38.412
MD,Allegany County,17.963
MD,Anne Arundel County,39.365
MD,Baltimore County,37.198
MD,Calvert County,29.286
MD,Caroline County,15.297
MD,Carroll County,33.701
MD,Cecil County,22.492
MD,Charles County,27.363
MD,Dorchester County,20.768
MD,Frederick County,39.736
MD,Garrett County,19.242
MD,Harford County,34.467
MD,Howard County,61.044
MD,Kent County,30.543
MD,Montgomery County,58.105
MD,Prince George's County,31.454
MD,Queen Anne's County,34.974
MD,St. Mary's County,29.902
MD,Somerset County,13.975
MD,Talbot County,35.834
MD,Washington County,20.098
MD,Wicomico County,27.377
MD,Worcester County,29.936
MD,Baltimore city,29.72
MA,Massachusetts,41.222
MA,Barnstable County,41.096
MA,Berkshire County,32.633
MA,Bristol County,26.519
MA,Dukes County,39.785
MA,Essex County,38.04
MA,Franklin County,35.9
MA,Hampden County,26.234
MA,Hampshire County,44.723
MA,Middlesex County,53.005
MA,Nantucket County,42.017
MA,Norfolk County,51.208
MA,Plymouth County,35.018
MA,Suffolk County,42.721
MA,Worcester County,34.826
MI,Michigan,27.41
MI,Alcona County,14.453
MI,Alger County,18.095
MI,Allegan County,21.419
MI,Alpena County,16.775
MI,Antrim County,26.686
MI,Arenac County,11.386
MI,Baraga County,15.649
MI,Barry County,18.916
MI,Bay County,18.114
MI,Benzie County,25.628
MI,Berrien County,26.763
MI,Branch County,13.627
MI,Calhoun County,20.751
MI,Cass County,17.375
MI,Charlevoix County,28.498
MI,Cheboygan County,18.259
MI,Chippewa County,19.711
MI,Clare County,11.37
MI,Clinton County,30.712
MI,Crawford County,16.678
MI,Delta County,20.578
MI,Dickinson County,23.402
MI,Eaton County,25.227
MI,Emmet County,32.882
MI,Genesee County,19.903
MI,Gladwin County,13.392
MI,Gogebic County,17.545
MI,Grand Traverse County,31.671
MI,Gratiot County,14.253
MI,Hillsdale County,16.674
MI,Houghton County,30.961
MI,Huron County,14.918
MI,Ingham County,37.725
MI,Ionia County,15.601
MI,Iosco County,16.255
MI,Iron County,18.14
MI,Isabella County,28.193
MI,Jackson County,20.586
MI,Kalamazoo County,36.101
MI,Kalkaska County,13.61
MI,Kent County,33.657
MI,Keweenaw County,24.854
MI,Lake County,9.049
MI,Lapeer County,17.777
MI,Leelanau County,41.135
MI,Lenawee County,19.933
MI,Livingston County,34.002
MI,Luce County,13.832
MI,Mackinac County,19.109
MI,Macomb County,23.798
MI,Manistee County,19.917
MI,Marquette County,30.05
MI,Mason County,20.762
MI,Mecosta County,21.207
MI,Menominee County,15.856
MI,Midland County,32.885
MI,Missaukee County,13.409
MI,Monroe County,18.8
MI,Montcalm County,12.562
MI,Montmorency County,11.784
MI,Muskegon County,18.022
MI,Newaygo County,14.339
MI,Oakland County,45.021
MI,Oceana County,17.052
MI,Ogemaw County,11.364
MI,Ontonagon County,17.356
MI,Osceola County,13.039
MI,Oscoda County,10.228
MI,Otsego County,20.48
MI,Ottawa County,31.603
MI,Presque Isle County,16.658
MI,Roscommon County,13.937
MI,Saginaw County,20.726
MI,St. Clair County,17.591
MI,St. Joseph County,15.323
MI,Sanilac County,13.112
MI,Schoolcraft County,15.731
MI,Shiawassee County,15.766
MI,Tuscola County,13.85
MI,Van Buren County,20.33
MI,Washtenaw County,53.236
MI,Wayne County,22.338
MI,Wexford County,16.706
MN,Minnesota,34.241
MN,Aitkin County,15.999
MN,Anoka County,28.226
MN,Becker County,23.727
MN,Beltrami County,26.799
MN,Benton County,22.207
MN,Big Stone County,16.581
MN,Blue Earth County,31.663
MN,Brown County,20.892
MN,Carlton County,21.986
MN,Carver County,46.043
MN,Cass County,20.87
MN,Chippewa County,16.481
MN,Chisago County,22.031
MN,Clay County,33.01
MN,Clearwater County,14.637
MN,Cook County,39.58
MN,Cottonwood County,19.919
MN,Crow Wing County,24.19
MN,Dakota County,40.724
MN,Dodge County,23.836
MN,Douglas County,25.056
MN,Faribault County,16.951
MN,Fillmore County,20.399
MN,Freeborn County,16.755
MN,Goodhue County,24.347
MN,Grant County,19.581
MN,Hennepin County,47.581
MN,Houston County,22.562
MN,Hubbard County,25.393
MN,Isanti County,17.69
MN,Itasca County,22.256
MN,Jackson County,21.156
MN,Kanabec County,13.754
MN,Kandiyohi County,22.516
MN,Kittson County,20.669
MN,Koochiching County,18.39
MN,Lac qui Parle County,18.338
MN,Lake County,27.24
MN,Lake of the Woods County,16.976
MN,Le Sueur County,21.366
MN,Lincoln County,18.874
MN,Lyon County,26.775
MN,McLeod County,17.314
MN,Mahnomen County,12.612
MN,Marshall County,19.997
MN,Martin County,18.471
MN,Meeker County,18.897
MN,Mille Lacs County,15.618
MN,Morrison County,16.152
MN,Mower County,20.005
MN,Murray County,17.813
MN,Nicollet County,32.26
MN,Nobles County,13.507
MN,Norman County,15.671
MN,Olmsted County,41.993
MN,Otter Tail County,24.057
MN,Pennington County,17.389
MN,Pine County,13.781
MN,Pipestone County,19.911
