"","County","State","index","Rate"
"612","Curry County","NM","88.60",5.1
"613","Curry County","OR","82.31",7.1
"614","Custer County","CO","80.83",2.9
"615","Custer County","ID","79.97",5.3
"616","Custer County","MT","86.14",2.7
"617","Custer County","NE","90.54",2
"618","Custer County","OK","95.70",4.1
"619","Custer County","SD","85.92",3.9
"620","Cuyahoga County","OH","90.20",4.7
"621","Dade County","MO","96.79",3.7
"622","Daggett County","UT","80.37",4.3
"623","Dakota County","MN","91.28",2.9
"624","Dakota County","NE","92.80",4.3
"625","Dale County","AL","95.17",5.4
"626","Dallam County","TX","89.54",2.3
"627","Dallas County","AL","96.31",8.6
"628","Dallas County","AR","97.81",4.4
"629","Dallas County","IA","94.28",2.2
"630","Dallas County","MO","95.99",4.8
"631","Dallas County","TX","98.55",3.6
"632","Dane County","WI","91.68",2.7
"633","Daniels County","MT","84.41",2.3
"634","Dare County","NC","90.71",6.1
"635","Darke County","OH","91.45",3.6
"636","Darlington County","SC","95.49",5.2
"637","Dauphin County","PA","89.99",4.4
"638","Davidson County","NC","92.87",4.6
"639","Davidson County","TN","95.32",3.5
"640","Davie County","NC","92.84",4.3
"641","Daviess County","IN","95.31",3.3
"642","Daviess County","KY","95.89",3.7
"643","Daviess County","MO","96.03",3.1
"644","Davis County","IA","95.41",5
"645","Davis County","UT","85.35",2.4
"646","Davison County","SD","92.40",2
"647","Dawes County","NE","86.97",2.3
"648","Dawson County","MT","85.40",3.3
"649","Dawson County","NE","91.22",2.9
"650","Dawson County","TX","91.05",4.5
"651","Day County","SD","89.87",3.5
"652","De Witt County","IL","94.56",5.1
"653","Deaf Smith County","TX","89.41",3
"654","Dearborn County","IN","93.51",4
"655","Decatur County","IA","95.10",2.8
"656","Decatur County","IN","92.77",3.1
"657","Decatur County","KS","91.63",3.3
"658","Decatur County","TN","96.26",6.3
"659","Deer Lodge County","MT","80.08",3.9
"660","Defiance County","OH","91.84",4.3
"661","Del Norte County","CA","80.86",7.3
"662","Delaware County","IA","92.79",3
"663","Delaware County","IN","91.91",4.6
"664","Delaware County","NY","87.91",4.9
"665","Delaware County","OH","91.39",3.2
"666","Delaware County","OK","97.17",4.9
"667","Delaware County","PA","91.04",4.5
"668","Delta County","CO","83.12",4.3
"669","Delta County","MI","88.28",5.5
"670","Delta County","TX","98.35",3.7
"671","Dent County","MO","95.04",4.7
"672","Denton County","TX","98.42",3.1
"673","Denver County","CO","85.26",2.6
"674","Des Moines County","IA","94.94",4.1
"675","Deschutes County","OR","81.51",4.5
"676","Desha County","AR","97.98",4.8
"677","Deuel County","NE","87.90",3.2
"678","Deuel County","SD","89.95",3.7
"679","Dewey County","OK","95.23",3.2
"680","Dewey County","SD","89.36",6.6
"681","Dickens County","TX","93.17",4.8
"682","Dickenson County","VA","88.26",9.1
"683","Dickey County","ND","89.96",1.8
"684","Dickinson County","IA","91.43",4.5
"685","Dickinson County","KS","96.05",4
"686","Dickinson County","MI","88.10",4.4
"687","Dickson County","TN","95.06",4
"688","Dillon County","SC","95.57",5.3
"689","Dimmit County","TX","97.52",5.9
"690","Dinwiddie County","VA","93.20",4.5
"691","Divide County","ND","85.39",2.2
"692","Dixon County","NE","92.44",3
"693","Doddridge County","WV","90.01",4.5
"694","Dodge County","MN","90.63",2.8
"695","Dodge County","NE","93.49",2.9
"696","Dodge County","WI","90.85",3.2
"697","Dolores County","CO","81.01",3
"698","Dona Ana County","NM","88.03",6.7
